frequence of AwayTeam attribute
    Type Description                     Count                   Percent
                 ARI                     12857                      3.15%
                 ATL                     12743                      3.13%
                 BAL                     12927                      3.17%
                 BUF                     12705                      3.12%
                 CAR                     12496                      3.07%
                 CHI                     12562                      3.08%
                 CIN                     12763                      3.13%
                 CLE                     12700                      3.12%
                 DAL                     12553                      3.08%
                 DEN                     13127                      3.22%
                 DET                     12975                      3.18%
                  GB                     12666                      3.11%
                 HOU                     12939                      3.17%
                 IND                     12780                      3.13%
                 JAC                      9808                      2.41%
                 JAX                      2930                      0.72%
                  KC                     12824                      3.15%
                  LA                      2836                      0.70%
                 LAC                      1415                      0.35%
                 MIA                     12685                      3.11%
                 MIN                     12553                      3.08%
                  NE                     12959                      3.18%
                  NO                     13003                      3.19%
                 NYG                     12704                      3.12%
                 NYJ                     12668                      3.11%
                 OAK                     12815                      3.14%
                 PHI                     13129                      3.22%
                 PIT                     12278                      3.01%
                  SD                     11302                      2.77%
                 SEA                     12530                      3.07%
                  SF                     12735                      3.12%
                 STL                      9663                      2.37%
                  TB                     12646                      3.10%
                 TEN                     12603                      3.09%
                 WAS                     12809                      3.14%
