frequence of Date attribute
    Type Description                     Count                   Percent
          2009-09-10                       178                      0.04%
          2009-09-13                      2211                      0.54%
          2009-09-14                       355                      0.09%
          2009-09-20                      2674                      0.66%
          2009-09-21                       163                      0.04%
          2009-09-27                      2575                      0.63%
          2009-09-28                       164                      0.04%
          2009-10-04                      2298                      0.56%
          2009-10-05                       167                      0.04%
          2009-10-11                      2241                      0.55%
          2009-10-12                       174                      0.04%
          2009-10-18                      2282                      0.56%
          2009-10-19                       168                      0.04%
          2009-10-25                      2061                      0.51%
          2009-10-26                       178                      0.04%
          2009-11-01                      2070                      0.51%
          2009-11-02                       191                      0.05%
          2009-11-08                      2127                      0.52%
          2009-11-09                       153                      0.04%
          2009-11-12                       168                      0.04%
          2009-11-15                      2333                      0.57%
          2009-11-16                       166                      0.04%
          2009-11-19                       181                      0.04%
          2009-11-22                      2437                      0.60%
          2009-11-23                       173                      0.04%
          2009-11-26                       515                      0.13%
          2009-11-29                      2090                      0.51%
          2009-11-30                       161                      0.04%
          2009-12-03                       165                      0.04%
          2009-12-06                      2485                      0.61%
          2009-12-07                       185                      0.05%
          2009-12-10                       163                      0.04%
          2009-12-13                      2429                      0.60%
          2009-12-14                       169                      0.04%
          2009-12-17                       173                      0.04%
          2009-12-19                       188                      0.05%
          2009-12-20                      2296                      0.56%
          2009-12-21                       159                      0.04%
          2009-12-25                       162                      0.04%
          2009-12-27                      2455                      0.60%
          2009-12-28                       197                      0.05%
          2010-01-03                      2716                      0.67%
          2010-09-09                       159                      0.04%
          2010-09-12                      2294                      0.56%
          2010-09-13                       336                      0.08%
          2010-09-19                      2565                      0.63%
          2010-09-20                       172                      0.04%
          2010-09-26                      2644                      0.65%
          2010-09-27                       159                      0.04%
          2010-10-03                      2215                      0.54%
          2010-10-04                       167                      0.04%
          2010-10-10                      2304                      0.57%
          2010-10-11                       193                      0.05%
          2010-10-17                      2340                      0.57%
          2010-10-18                       166                      0.04%
          2010-10-24                      2306                      0.57%
          2010-10-25                       188                      0.05%
          2010-10-31                      2132                      0.52%
          2010-11-01                       185                      0.05%
          2010-11-07                      2109                      0.52%
          2010-11-08                       166                      0.04%
          2010-11-11                       179                      0.04%
          2010-11-14                      2215                      0.54%
          2010-11-15                       175                      0.04%
          2010-11-18                       158                      0.04%
          2010-11-21                      2433                      0.60%
          2010-11-22                       174                      0.04%
          2010-11-25                       542                      0.13%
          2010-11-28                      2083                      0.51%
          2010-11-29                       162                      0.04%
          2010-12-02                       179                      0.04%
          2010-12-05                      2382                      0.58%
          2010-12-06                       164                      0.04%
          2010-12-09                       178                      0.04%
          2010-12-12                      2193                      0.54%
          2010-12-13                       382                      0.09%
          2010-12-16                       160                      0.04%
          2010-12-19                      2472                      0.61%
          2010-12-20                       171                      0.04%
          2010-12-23                       165                      0.04%
          2010-12-25                       180                      0.04%
          2010-12-26                      2083                      0.51%
          2010-12-27                       172                      0.04%
          2010-12-28                       177                      0.04%
          2011-01-02                      2772                      0.68%
          2011-09-08                       189                      0.05%
          2011-09-11                      2246                      0.55%
          2011-09-12                       395                      0.10%
          2011-09-18                      2591                      0.64%
          2011-09-19                       188                      0.05%
          2011-09-25                      2663                      0.65%
          2011-09-26                       174                      0.04%
          2011-10-02                      2636                      0.65%
          2011-10-03                       189                      0.05%
          2011-10-09                      2122                      0.52%
          2011-10-10                       172                      0.04%
          2011-10-16                      2116                      0.52%
          2011-10-17                       159                      0.04%
          2011-10-23                      2080                      0.51%
          2011-10-24                       173                      0.04%
          2011-10-30                      2150                      0.53%
          2011-10-31                       198                      0.05%
          2011-11-06                      2277                      0.56%
          2011-11-07                       176                      0.04%
          2011-11-10                       175                      0.04%
          2011-11-13                      2426                      0.60%
          2011-11-14                       173                      0.04%
          2011-11-17                       177                      0.04%
          2011-11-20                      2109                      0.52%
          2011-11-21                       174                      0.04%
          2011-11-24                       501                      0.12%
          2011-11-27                      2145                      0.53%
          2011-11-28                       189                      0.05%
          2011-12-01                       152                      0.04%
          2011-12-04                      2557                      0.63%
          2011-12-05                       165                      0.04%
          2011-12-08                       162                      0.04%
          2011-12-11                      2503                      0.61%
          2011-12-12                       182                      0.04%
          2011-12-15                       159                      0.04%
          2011-12-17                       152                      0.04%
          2011-12-18                      2260                      0.55%
          2011-12-19                       171                      0.04%
          2011-12-22                       184                      0.05%
          2011-12-24                      2288                      0.56%
          2011-12-25                       164                      0.04%
          2011-12-26                       183                      0.04%
          2012-01-01                      2825                      0.69%
          2012-09-05                       158                      0.04%
          2012-09-09                      2294                      0.56%
          2012-09-10                       347                      0.09%
          2012-09-13                       169                      0.04%
          2012-09-16                      2477                      0.61%
          2012-09-17                       186                      0.05%
          2012-09-20                       160                      0.04%
          2012-09-23                      2607                      0.64%
          2012-09-24                       172                      0.04%
          2012-09-27                       204                      0.05%
          2012-09-30                      2319                      0.57%
          2012-10-01                       166                      0.04%
          2012-10-04                       172                      0.04%
          2012-10-07                      2127                      0.52%
          2012-10-08                       165                      0.04%
          2012-10-11                       178                      0.04%
          2012-10-14                      2207                      0.54%
          2012-10-15                       176                      0.04%
          2012-10-18                       150                      0.04%
          2012-10-21                      1957                      0.48%
          2012-10-22                       188                      0.05%
          2012-10-25                       191                      0.05%
          2012-10-28                      2116                      0.52%
          2012-10-29                       171                      0.04%
          2012-11-01                       146                      0.04%
          2012-11-04                      2130                      0.52%
          2012-11-05                       167                      0.04%
          2012-11-08                       175                      0.04%
          2012-11-11                      2122                      0.52%
          2012-11-12                       174                      0.04%
          2012-11-15                       172                      0.04%
          2012-11-18                      2227                      0.55%
          2012-11-19                       156                      0.04%
          2012-11-22                       600                      0.15%
          2012-11-25                      2085                      0.51%
          2012-11-26                       161                      0.04%
          2012-11-29                       180                      0.04%
          2012-12-02                      2529                      0.62%
          2012-12-03                       158                      0.04%
          2012-12-06                       173                      0.04%
          2012-12-09                      2470                      0.61%
          2012-12-10                       185                      0.05%
          2012-12-13                       185                      0.05%
          2012-12-16                      2468                      0.61%
          2012-12-17                       169                      0.04%
          2012-12-22                       177                      0.04%
          2012-12-23                      2612                      0.64%
          2012-12-30                      2737                      0.67%
          2013-09-05                       216                      0.05%
          2013-09-08                      2274                      0.56%
          2013-09-09                       378                      0.09%
          2013-09-12                       186                      0.05%
