frequence of DefensiveTeam attribute
    Type Description                     Count                   Percent
                 ARI                     12236                      3.20%
                 ATL                     11623                      3.04%
                 BAL                     12025                      3.14%
                 BUF                     12237                      3.20%
                 CAR                     11646                      3.04%
                 CHI                     11772                      3.08%
                 CIN                     11945                      3.12%
                 CLE                     12228                      3.20%
                 DAL                     11769                      3.08%
                 DEN                     12222                      3.19%
                 DET                     11965                      3.13%
                  GB                     11759                      3.07%
                 HOU                     11812                      3.09%
                 IND                     12014                      3.14%
                 JAC                      9401                      2.46%
                 JAX                      2594                      0.68%
                  KC                     12020                      3.14%
                  LA                      2702                      0.71%
                 LAC                      1285                      0.34%
                 MIA                     12133                      3.17%
                 MIN                     11911                      3.11%
                  NE                     12073                      3.15%
                  NO                     11890                      3.11%
                 NYG                     12089                      3.16%
                 NYJ                     11801                      3.08%
                 OAK                     12158                      3.18%
                 PHI                     12321                      3.22%
                 PIT                     11499                      3.00%
                  SD                     10264                      2.68%
                 SEA                     11832                      3.09%
                  SF                     12109                      3.16%
                 STL                      9290                      2.43%
                  TB                     11890                      3.11%
                 TEN                     12293                      3.21%
                 WAS                     11888                      3.11%
