frequence of Drive attribute
    Type Description                     Count                   Percent
                   1                     19261                      4.72%
                  10                     17193                      4.22%
                  11                     16898                      4.14%
                  12                     16724                      4.10%
                  13                     16745                      4.11%
                  14                     16881                      4.14%
                  15                     17188                      4.22%
                  16                     17525                      4.30%
                  17                     17459                      4.28%
                  18                     17339                      4.25%
                  19                     16928                      4.15%
                   2                     17084                      4.19%
                  20                     15622                      3.83%
                  21                     13998                      3.43%
                  22                     12071                      2.96%
                  23                      9933                      2.44%
                  24                      7959                      1.95%
                  25                      5842                      1.43%
                  26                      4200                      1.03%
                  27                      2815                      0.69%
                  28                      1658                      0.41%
                  29                      1077                      0.26%
                   3                     17425                      4.27%
                  30                       675                      0.17%
                  31                       366                      0.09%
                  32                       237                      0.06%
                  33                        97                      0.02%
                  34                        45                      0.01%
                  35                         9                      0.00%
                   4                     17875                      4.38%
                   5                     17822                      4.37%
                   6                     17925                      4.40%
                   7                     18088                      4.44%
                   8                     17691                      4.34%
                   9                     17033                      4.18%
