frequence of HomeTeam attribute
    Type Description                     Count                   Percent
                 ARI                     12897                      3.16%
                 ATL                     12431                      3.05%
                 BAL                     12902                      3.16%
                 BUF                     12996                      3.19%
                 CAR                     12551                      3.08%
                 CHI                     12516                      3.07%
                 CIN                     12675                      3.11%
                 CLE                     12858                      3.15%
                 DAL                     12597                      3.09%
                 DEN                     13041                      3.20%
                 DET                     12813                      3.14%
                  GB                     12743                      3.13%
                 HOU                     12731                      3.12%
                 IND                     12897                      3.16%
                 JAC                     10035                      2.46%
                 JAX                      2723                      0.67%
                  KC                     12620                      3.10%
                  LA                      2798                      0.69%
                 LAC                      1363                      0.33%
                 MIA                     12758                      3.13%
                 MIN                     12619                      3.10%
                  NE                     13165                      3.23%
                  NO                     12984                      3.18%
                 NYG                     12901                      3.16%
                 NYJ                     12706                      3.12%
                 OAK                     12895                      3.16%
                 PHI                     13123                      3.22%
                 PIT                     12624                      3.10%
                  SD                     11007                      2.70%
                 SEA                     12559                      3.08%
                  SF                     12567                      3.08%
                 STL                      9842                      2.41%
                  TB                     12507                      3.07%
                 TEN                     12689                      3.11%
                 WAS                     12555                      3.08%
