frequence of Interceptor attribute
    Type Description                     Count                   Percent
             A.Adams                         1                      0.02%
           A.Afalava                         1                      0.02%
             A.Allen                         5                      0.11%
              A.Amos                         2                      0.04%
             A.Ayers                         4                      0.09%
              A.Ball                         6                      0.13%
            A.Barnes                         1                      0.02%
              A.Barr                         1                      0.02%
             A.Berry                         1                      0.02%
            A.Bethea                        17                      0.38%
             A.Bigby                         5                      0.11%
             A.Black                         2                      0.04%
             A.Blake                         3                      0.07%
             A.Bouye                        12                      0.27%
            A.Brooks                         3                      0.07%
             A.Brown                         4                      0.09%
             A.Burns                         4                      0.09%
             A.Cason                        14                      0.31%
              A.Cole                         1                      0.02%
         A.Cromartie                        22                      0.49%
             A.Davis                         1                      0.02%
           A.Dennard                         5                      0.11%
              A.Elam                         2                      0.04%
         A.Francisco                         2                      0.04%
          A.Franklin                         1                      0.02%
           A.Goodman                         7                      0.15%
               A.Hal                        10                      0.22%
            A.Harris                         2                      0.04%
              A.Hawk                         6                      0.13%
             A.Henry                         2                      0.04%
          A.Hitchens                         2                      0.04%
         A.Jefferson                         2                      0.04%
             A.Jones                        13                      0.29%
            A.Jordan                         2                      0.04%
             A.Klein                         1                      0.02%
         A.Levine Sr                         1                      0.02%
           A.Madison                         1                      0.02%
            A.Molden                         2                      0.04%
          A.Ogletree                         7                      0.15%
            A.Okafor                         1                      0.02%
          A.Phillips                         4                      0.09%
          A.Robinson                         1                      0.02%
             A.Rolle                        18                      0.40%
              A.Ross                         6                      0.13%
             A.Rouse                         1                      0.02%
             A.Rubin                         2                      0.04%
            A.Samuel                        25                      0.55%
           A.Schobel                         1                      0.02%
           A.Sendejo                         8                      0.18%
             A.Smith                        11                      0.24%
           A.Spencer                         2                      0.04%
           A.Spievey                         5                      0.11%
        A.Studebaker                         2                      0.04%
             A.Talib                        33                      0.73%
           A.Tarpley                         2                      0.04%
            A.Verner                        17                      0.38%
           A.Walters                         1                      0.02%
          A.Williams                         7                      0.15%
        A.Williamson                         2                      0.04%
            A.Wilson                        12                      0.27%
          A.Winfield                         8                      0.18%
       A.Witherspoon                         2                      0.04%
           A.Youboty                         1                      0.02%
           Ald.Smith                         1                      0.02%
        B.Ayanbadejo                         1                      0.02%
         B.Benwikere                         2                      0.04%
              B.Bird                         1                      0.02%
     B.Boddy-Calhoun                         3                      0.07%
            B.Boykin                         8                      0.18%
          B.Breeland                         9                      0.20%
           B.Browner                        12                      0.27%
          B.Callahan                         2                      0.04%
         B.Carpenter                         1                      0.02%
              B.Carr                        18                      0.40%
            B.Carter                         6                      0.13%
           B.Chillar                         1                      0.02%
            B.Church                        10                      0.22%
          B.Countess                         1                      0.02%
           B.Cushing                         8                      0.18%
           B.Dawkins                         3                      0.07%
             B.Dixon                         1                      0.02%
          B.Fletcher                         8                      0.18%
           B.Flowers                        20                      0.44%
              B.Ghee                         1                      0.02%
            B.Grimes                        35                      0.77%
             B.Irvin                         3                      0.07%
             B.James                         1                      0.02%
           B.Johnson                         2                      0.04%
             B.Jones                         3                      0.07%
            B.Keisel                         2                      0.04%
             B.Leber                         1                      0.02%
          B.Marshall                         2                      0.04%
          B.Martinez                         2                      0.04%
           B.Maxwell                        11                      0.24%
            B.McCain                        14                      0.31%
            B.McCann                         1                      0.02%
          B.McDonald                         2                      0.04%
         B.McDougald                         5                      0.11%
          B.McFadden                         2                      0.04%
            B.Mebane                         1                      0.02%
       B.Meriweather                        14                      0.31%
             B.Mingo                         1                      0.02%
            B.Orakpo                         1                      0.02%
           B.Pollard                        10                      0.22%
              B.Pool                         8                      0.18%
             B.Poole                         1                      0.02%
             B.Rambo                         5                      0.11%
              B.Reed                         1                      0.02%
        B.Richardson                         1                      0.02%
              B.Roby                         6                      0.13%
              B.Ross                         3                      0.07%
              B.Ruud                         3                      0.07%
           B.Sanders                         1                      0.02%
              B.Sapp                         2                      0.04%
             B.Scott                         7                      0.15%
             B.Siler                         2                      0.04%
            B.Skrine                         9                      0.20%
            B.Spikes                         2                      0.04%
           B.Trawick                         1                      0.02%
          B.Urlacher                         6                      0.13%
            B.Vereen                         1                      0.02%
            B.Wagner                         9                      0.20%
              B.Webb                         2                      0.04%
          B.Williams                         1                      0.02%
              B.Winn                         2                      0.04%
       B.Wreh-Wilson                         1                      0.02%
           Br.McCain                         1                      0.02%
            Br.Scott                         1                      0.02%
             C.Allen                         6                      0.13%
          C.Anderson                         1                      0.02%
             C.Avril                         1                      0.02%
            C.Awuzie                         1                      0.02%
            C.Bailey                         9                      0.20%
             C.Banjo                         1                      0.02%
            C.Barwin                         1                      0.02%
         C.Blackburn                         3                      0.07%
           C.Borland                         2                      0.04%
          C.Campbell                         3                      0.07%
              C.Carr                         5                      0.11%
       C.Chamberlain                         1                      0.02%
           C.Clemons                         6                      0.13%
             C.Conte                        15                      0.33%
              C.Cook                         1                      0.02%
           C.Crocker                         7                      0.15%
           C.Crowder                         1                      0.02%
          C.Culliver                         8                      0.18%
              C.Dahl                         5                      0.11%
             C.Davis                         2                      0.04%
             C.Draft                         1                      0.02%
            C.Dunlap                         2                      0.04%
         C.Fejedelem                         1                      0.02%
          C.Finnegan                        12                      0.27%
           C.Fleener                         1                      0.02%
            C.Gamble                         7                      0.15%
           C.Godfrey                        10                      0.22%
            C.Graham                        16                      0.35%
            C.Greene                         1                      0.02%
          C.Greenway                        11                      0.24%
           C.Griffin                         5                      0.11%
             C.Grimm                         2                      0.04%
