frequence of Passer_ID attribute
    Type Description                     Count                   Percent
          00-0000108                         1                      0.00%
          00-0000865                       154                      0.04%
          00-0001545                        35                      0.01%
          00-0002110                        48                      0.01%
          00-0003292                       615                      0.15%
          00-0003315                        54                      0.01%
          00-0003739                       171                      0.04%
          00-0004091                         1                      0.00%
          00-0004161                       530                      0.13%
          00-0005106                       945                      0.23%
          00-0007091                      2095                      0.51%
          00-0008484                         1                      0.00%
          00-0009311                       350                      0.09%
          00-0010346                      3519                      0.86%
          00-0010609                         1                      0.00%
          00-0011022                      1160                      0.28%
          00-0011626                         1                      0.00%
          00-0015194                         2                      0.00%
          00-0017200                       539                      0.13%
          00-0017915                         1                      0.00%
          00-0019041                        33                      0.01%
          00-0019559                        82                      0.02%
          00-0019596                      5399                      1.32%
          00-0019599                       261                      0.06%
          00-0019709                       161                      0.04%
          00-0019714                         5                      0.00%
          00-0020245                      1615                      0.40%
          00-0020305                       108                      0.03%
          00-0020397                         1                      0.00%
          00-0020498                         1                      0.00%
          00-0020531                      5906                      1.45%
          00-0020536                         2                      0.00%
          00-0020608                        53                      0.01%
          00-0020679                       914                      0.22%
          00-0021179                         1                      0.00%
          00-0021190                         3                      0.00%
          00-0021206                      1602                      0.39%
          00-0021216                         1                      0.00%
          00-0021231                       956                      0.23%
          00-0021296                        14                      0.00%
          00-0021429                      4375                      1.07%
          00-0021488                         1                      0.00%
          00-0021678                      3212                      0.79%
          00-0021755                         1                      0.00%
          00-0021940                         1                      0.00%
          00-0022005                        22                      0.01%
          00-0022017                         1                      0.00%
          00-0022055                       376                      0.09%
          00-0022084                         2                      0.00%
          00-0022092                         1                      0.00%
          00-0022097                         1                      0.00%
          00-0022101                        35                      0.01%
          00-0022121                       634                      0.16%
          00-0022164                       231                      0.06%
          00-0022177                       174                      0.04%
          00-0022217                         1                      0.00%
          00-0022725                         1                      0.00%
          00-0022766                         1                      0.00%
          00-0022787                      2572                      0.63%
          00-0022803                      5353                      1.31%
          00-0022824                         1                      0.00%
          00-0022864                       125                      0.03%
          00-0022912                        16                      0.00%
          00-0022921                         3                      0.00%
          00-0022924                      4859                      1.19%
          00-0022942                      5367                      1.32%
          00-0023176                        11                      0.00%
          00-0023234                         2                      0.00%
          00-0023436                      4121                      1.01%
          00-0023437                         9                      0.00%
          00-0023438                         1                      0.00%
          00-0023457                         1                      0.00%
          00-0023459                      4620                      1.13%
          00-0023460                      1494                      0.37%
          00-0023474                         1                      0.00%
          00-0023502                        92                      0.02%
          00-0023534                         1                      0.00%
          00-0023541                      1905                      0.47%
          00-0023544                         1                      0.00%
          00-0023578                       254                      0.06%
          00-0023645                       717                      0.18%
          00-0023662                      2273                      0.56%
          00-0023682                      3717                      0.91%
          00-0023742                         3                      0.00%
          00-0023853                         1                      0.00%
          00-0023968                         5                      0.00%
          00-0024110                         1                      0.00%
          00-0024204                         2                      0.00%
          00-0024218                       559                      0.14%
          00-0024225                       126                      0.03%
          00-0024226                      3972                      0.97%
          00-0024240                         1                      0.00%
          00-0024245                         1                      0.00%
          00-0024264                       416                      0.10%
          00-0024275                         2                      0.00%
          00-0024279                       597                      0.15%
          00-0024294                         1                      0.00%
          00-0024296                       433                      0.11%
          00-0024300                        66                      0.02%
          00-0024315                         1                      0.00%
          00-0024318                         7                      0.00%
          00-0024332                         1                      0.00%
          00-0024334                         1                      0.00%
          00-0024408                       354                      0.09%
          00-0024417                         4                      0.00%
          00-0024812                       154                      0.04%
          00-0024824                         1                      0.00%
          00-0025388                       279                      0.07%
          00-0025396                         1                      0.00%
          00-0025399                         2                      0.00%
          00-0025409                       493                      0.12%
          00-0025423                       796                      0.20%
          00-0025424                         1                      0.00%
          00-0025427                       146                      0.04%
          00-0025430                       673                      0.17%
          00-0025431                         4                      0.00%
          00-0025479                       319                      0.08%
          00-0025486                         1                      0.00%
          00-0025487                         1                      0.00%
          00-0025488                         1                      0.00%
          00-0025499                         1                      0.00%
          00-0025529                         2                      0.00%
          00-0025559                         2                      0.00%
          00-0025561                       172                      0.04%
          00-0025592                         8                      0.00%
          00-0025604                        91                      0.02%
          00-0025612                         1                      0.00%
          00-0025672                         1                      0.00%
          00-0025708                       944                      0.23%
          00-0025749                        53                      0.01%
          00-0025970                       137                      0.03%
          00-0026035                         1                      0.00%
          00-0026069                         1                      0.00%
          00-0026143                      5420                      1.33%
          00-0026144                         4                      0.00%
          00-0026158                      5152                      1.26%
          00-0026164                         1                      0.00%
          00-0026184                         1                      0.00%
          00-0026195                         2                      0.00%
          00-0026196                        57                      0.01%
          00-0026197                      2093                      0.51%
          00-0026296                        63                      0.02%
          00-0026300                       192                      0.05%
          00-0026314                         1                      0.00%
          00-0026345                         1                      0.00%
          00-0026349                       391                      0.10%
          00-0026367                         3                      0.00%
          00-0026393                         1                      0.00%
          00-0026491                         1                      0.00%
          00-0026498                      5164                      1.27%
          00-0026516                         1                      0.00%
          00-0026544                        84                      0.02%
          00-0026625                      1491                      0.37%
          00-0026664                         2                      0.00%
          00-0026796                         1                      0.00%
          00-0026898                      2444                      0.60%
          00-0026901                         1                      0.00%
          00-0026941                         1                      0.00%
          00-0026993                      2161                      0.53%
          00-0026995                         1                      0.00%
          00-0027020                         6                      0.00%
          00-0027026                         1                      0.00%
          00-0027071                        88                      0.02%
          00-0027114                         1                      0.00%
          00-0027121                         2                      0.00%
          00-0027131                       131                      0.03%
          00-0027134                       307                      0.08%
          00-0027145                         2                      0.00%
          00-0027253                       210                      0.05%
          00-0027347                        92                      0.02%
          00-0027595                         1                      0.00%
          00-0027602                         4                      0.00%
          00-0027618                         1                      0.00%
          00-0027659                       515                      0.13%
          00-0027681                         1                      0.00%
          00-0027685                         2                      0.00%
          00-0027688                       919                      0.23%
          00-0027690                         2                      0.00%
          00-0027692                         3                      0.00%
          00-0027702                         1                      0.00%
          00-0027722                        17                      0.00%
          00-0027754                       649                      0.16%
          00-0027770                         1                      0.00%
          00-0027775                        46                      0.01%
          00-0027793                         7                      0.00%
          00-0027796                       170                      0.04%
          00-0027801                        13                      0.00%
          00-0027804                         3                      0.00%
          00-0027854                      3078                      0.75%
          00-0027874                         1                      0.00%
          00-0027876                       403                      0.10%
          00-0027880                         1                      0.00%
          00-0027891                         1                      0.00%
          00-0027902                         1                      0.00%
          00-0027912                         1                      0.00%
          00-0027939                      3678                      0.90%
          00-0027943                         1                      0.00%
          00-0027946                       769                      0.19%
          00-0027948                      1529                      0.38%
          00-0027950                      1152                      0.28%
          00-0027973                      3777                      0.93%
          00-0027974                      1865                      0.46%
          00-0027994                         1                      0.00%
          00-0028002                         2                      0.00%
          00-0028009                         2                      0.00%
          00-0028012                       352                      0.09%
          00-0028052                         3                      0.00%
          00-0028053                         1                      0.00%
          00-0028064                         1                      0.00%
          00-0028090                       360                      0.09%
          00-0028091                         4                      0.00%
          00-0028118                      1401                      0.34%
          00-0028146                        42                      0.01%
          00-0028237                         1                      0.00%
          00-0028347                         1                      0.00%
          00-0028427                         1                      0.00%
          00-0028434                         1                      0.00%
          00-0028595                       157                      0.04%
          00-0028825                       341                      0.08%
          00-0028863                         7                      0.00%
          00-0028872                        15                      0.00%
          00-0028954                         2                      0.00%
          00-0028957                       419                      0.10%
          00-0028986                      1331                      0.33%
          00-0029000                         1                      0.00%
          00-0029143                         1                      0.00%
          00-0029151                        43                      0.01%
          00-0029159                         1                      0.00%
          00-0029205                         1                      0.00%
          00-0029234                       109                      0.03%
          00-0029263                      3081                      0.76%
          00-0029269                         1                      0.00%
          00-0029304                         1                      0.00%
          00-0029384                         2                      0.00%
          00-0029493                         2                      0.00%
          00-0029510                         1                      0.00%
          00-0029531                       292                      0.07%
          00-0029567                      1469                      0.36%
          00-0029597                         1                      0.00%
          00-0029604                      2202                      0.54%
          00-0029608                         1                      0.00%
          00-0029623                        17                      0.00%
          00-0029632                         7                      0.00%
          00-0029664                         1                      0.00%
          00-0029665                      1335                      0.33%
          00-0029668                      2809                      0.69%
          00-0029677                      1031                      0.25%
          00-0029682                      1050                      0.26%
          00-0029688                         1                      0.00%
          00-0029692                         1                      0.00%
          00-0029701                      2844                      0.70%
          00-0029878                         2                      0.00%
          00-0030024                        61                      0.01%
          00-0030092                         2                      0.00%
          00-0030120                         2                      0.00%
          00-0030140                         1                      0.00%
          00-0030142                         1                      0.00%
          00-0030151                         1                      0.00%
          00-0030391                         1                      0.00%
          00-0030419                       287                      0.07%
          00-0030496                         1                      0.00%
          00-0030506                         1                      0.00%
          00-0030520                       832                      0.20%
          00-0030524                       178                      0.04%
          00-0030525                         1                      0.00%
          00-0030526                       637                      0.16%
          00-0030533                       275                      0.07%
          00-0030547                         3                      0.00%
          00-0030550                         1                      0.00%
          00-0030565                       981                      0.24%
          00-0030569                         9                      0.00%
          00-0030586                        12                      0.00%
          00-0030661                        32                      0.01%
          00-0030663                         1                      0.00%
          00-0030789                         1                      0.00%
          00-0030990                         1                      0.00%
          00-0030999                         1                      0.00%
          00-0031064                       342                      0.08%
          00-0031076                        50                      0.01%
          00-0031079                         1                      0.00%
          00-0031203                         1                      0.00%
          00-0031235                         2                      0.00%
          00-0031237                       935                      0.23%
          00-0031260                        11                      0.00%
          00-0031266                       375                      0.09%
          00-0031280                      2337                      0.57%
          00-0031288                       146                      0.04%
          00-0031345                       289                      0.07%
          00-0031363                         1                      0.00%
          00-0031376                         1                      0.00%
          00-0031382                         3                      0.00%
          00-0031407                      2393                      0.59%
          00-0031409                       280                      0.07%
          00-0031431                         2                      0.00%
          00-0031503                      1641                      0.40%
          00-0031568                       266                      0.07%
          00-0031589                       355                      0.09%
          00-0031800                         2                      0.00%
          00-0031912                         1                      0.00%
          00-0031941                         1                      0.00%
          00-0032156                       899                      0.22%
          00-0032245                        53                      0.01%
          00-0032257                         1                      0.00%
