frequence of SideofField attribute
    Type Description                     Count                   Percent
                  50                       312                      0.08%
                 ARI                     12834                      3.15%
                 ATL                     12088                      2.97%
                 BAL                     12442                      3.06%
                 BUF                     13094                      3.22%
                 CAR                     12222                      3.00%
                 CHI                     12583                      3.09%
                 CIN                     12384                      3.04%
                 CLE                     13212                      3.24%
                 DAL                     12306                      3.02%
                 DEN                     12606                      3.10%
                 DET                     12799                      3.14%
                  GB                     12250                      3.01%
                 HOU                     12628                      3.10%
                 IND                     12760                      3.13%
                 JAC                     10185                      2.50%
                 JAX                      2754                      0.68%
                  KC                     12486                      3.07%
                  LA                      2763                      0.68%
                 LAC                      1351                      0.33%
                 MIA                     12924                      3.17%
                 MID                      4326                      1.06%
                 MIN                     12277                      3.02%
                  NE                     12001                      2.95%
                  NO                     12566                      3.09%
                 NYG                     12855                      3.16%
                 NYJ                     12396                      3.04%
                 OAK                     13270                      3.26%
                 PHI                     12673                      3.11%
                 PIT                     12023                      2.95%
                  SD                     10952                      2.69%
                 SEA                     12077                      2.97%
                  SF                     12452                      3.06%
                 STL                      9879                      2.43%
                  TB                     12788                      3.14%
                 TEN                     12968                      3.18%
                 WAS                     12674                      3.11%
