frequence of posteam attribute
    Type Description                     Count                   Percent
                                         24992                      6.13%
                 ARI                     11967                      2.94%
                 ATL                     12004                      2.94%
                 BAL                     12241                      3.00%
                 BUF                     11767                      2.89%
                 CAR                     11870                      2.91%
                 CHI                     11566                      2.84%
                 CIN                     11931                      2.93%
                 CLE                     11722                      2.88%
                 DAL                     11784                      2.89%
                 DEN                     12398                      3.04%
                 DET                     12271                      3.01%
                  GB                     12052                      2.96%
                 HOU                     12315                      3.02%
                 IND                     12156                      2.98%
                 JAC                      9253                      2.27%
                 JAX                      2692                      0.66%
                  KC                     11808                      2.90%
                  LA                      2599                      0.64%
                 LAC                      1312                      0.32%
                 MIA                     11690                      2.87%
                 MIN                     11774                      2.89%
                  NE                     12520                      3.07%
                  NO                     12408                      3.04%
                 NYG                     12021                      2.95%
                 NYJ                     12076                      2.96%
                 OAK                     12002                      2.94%
                 PHI                     12397                      3.04%
                 PIT                     11859                      2.91%
                  SD                     10661                      2.61%
                 SEA                     11764                      2.89%
                  SF                     11591                      2.84%
                 STL                      9113                      2.24%
                  TB                     11696                      2.87%
                 TEN                     11511                      2.82%
                 WAS                     11905                      2.92%
