frequence of time attribute
    Type Description                     Count                   Percent
                                           224                      0.05%
               00:00                      6914                      1.70%
               00:01                       401                      0.10%
               00:02                       715                      0.18%
               00:03                       758                      0.19%
               00:04                       704                      0.17%
               00:05                       651                      0.16%
               00:06                       570                      0.14%
               00:07                       635                      0.16%
               00:08                       645                      0.16%
               00:09                       608                      0.15%
               00:10                       645                      0.16%
               00:11                       593                      0.15%
               00:12                       695                      0.17%
               00:13                       662                      0.16%
               00:14                       726                      0.18%
               00:15                       653                      0.16%
               00:16                       679                      0.17%
               00:17                       654                      0.16%
               00:18                       693                      0.17%
               00:19                       701                      0.17%
               00:20                       680                      0.17%
               00:21                       669                      0.16%
               00:22                       700                      0.17%
               00:23                       702                      0.17%
               00:24                       731                      0.18%
               00:25                       704                      0.17%
               00:26                       711                      0.17%
               00:27                       713                      0.17%
               00:28                       743                      0.18%
               00:29                       720                      0.18%
               00:30                       700                      0.17%
               00:31                       695                      0.17%
               00:32                       696                      0.17%
               00:33                       678                      0.17%
               00:34                       684                      0.17%
               00:35                       783                      0.19%
               00:36                       708                      0.17%
               00:37                       693                      0.17%
               00:38                       740                      0.18%
               00:39                       652                      0.16%
               00:40                       722                      0.18%
               00:41                       623                      0.15%
               00:42                       591                      0.14%
               00:43                       606                      0.15%
               00:44                       600                      0.15%
               00:45                       614                      0.15%
               00:46                       606                      0.15%
               00:47                       640                      0.16%
               00:48                       614                      0.15%
               00:49                       544                      0.13%
               00:50                       646                      0.16%
               00:51                       532                      0.13%
               00:52                       623                      0.15%
               00:53                       613                      0.15%
               00:54                       560                      0.14%
               00:55                       622                      0.15%
               00:56                       534                      0.13%
               00:57                       600                      0.15%
               00:58                       556                      0.14%
               00:59                       595                      0.15%
               01:00                       526                      0.13%
               01:01                       601                      0.15%
               01:02                       610                      0.15%
               01:03                       600                      0.15%
               01:04                       570                      0.14%
               01:05                       590                      0.14%
               01:06                       575                      0.14%
               01:07                       590                      0.14%
               01:08                       627                      0.15%
               01:09                       658                      0.16%
               01:10                       670                      0.16%
