frequence of Supervisor District attribute
    Type Description                     Count                   Percent
                   1                     13038                      6.61%
                  10                     12152                      6.16%
                  11                      6940                      3.52%
                   2                     25483                     12.92%
                   3                     28649                     14.53%
                   4                      9592                      4.86%
                   5                     19045                      9.66%
                   6                     24797                     12.58%
                   7                     14365                      7.29%
                   8                     26760                     13.57%
                   9                     16362                      8.30%
