frequence of Unit attribute
    Type Description                     Count                   Percent
                   0                     21410                     72.63%
                   1                      1312                      4.45%
                  10                        75                      0.25%
                 100                        14                      0.05%
                1000                         1                      0.00%
                1001                         8                      0.03%
                1002                         6                      0.02%
                1003                         8                      0.03%
                1004                         5                      0.02%
                1005                         6                      0.02%
                1006                         3                      0.01%
                1007                         4                      0.01%
                1009                         1                      0.00%
                 101                       365                      1.24%
                1011                         1                      0.00%
                1014                         2                      0.01%
                1015                         3                      0.01%
                1016                         1                      0.00%
                 102                        67                      0.23%
                1022                         5                      0.02%
                1024                         3                      0.01%
                1025                         2                      0.01%
                1026                         1                      0.00%
                 103                        68                      0.23%
                1032                         1                      0.00%
                 104                        30                      0.10%
                1043                         1                      0.00%
                1047                         2                      0.01%
                 105                        30                      0.10%
                1050                         7                      0.02%
                1059                         2                      0.01%
                 106                        16                      0.05%
                 107                        25                      0.08%
                 108                        22                      0.07%
                 109                         3                      0.01%
                  11                        71                      0.24%
                 110                         9                      0.03%
                1101                         7                      0.02%
                1102                         4                      0.01%
                1103                         8                      0.03%
                1104                         3                      0.01%
                1105                         8                      0.03%
                1106                         4                      0.01%
                1107                         2                      0.01%
                1108                         4                      0.01%
                1109                         4                      0.01%
                 111                        14                      0.05%
                1110                         6                      0.02%
                1112                         1                      0.00%
                1114                         1                      0.00%
                1115                         2                      0.01%
                1116                         6                      0.02%
                 112                        11                      0.04%
                1120                         1                      0.00%
                1124                         1                      0.00%
                 113                         2                      0.01%
                1131                         1                      0.00%
                1132                         1                      0.00%
                1135                         6                      0.02%
                 114                         1                      0.00%
                1140                         6                      0.02%
                 115                         2                      0.01%
                1150                         4                      0.01%
                1152                         4                      0.01%
                 116                        10                      0.03%
                1167                         1                      0.00%
                 117                         5                      0.02%
                 118                         5                      0.02%
                 119                         1                      0.00%
                  12                        65                      0.22%
                 120                         3                      0.01%
                1201                        18                      0.06%
                1202                        15                      0.05%
                1203                         6                      0.02%
                1204                         1                      0.00%
                1206                         1                      0.00%
                1207                         4                      0.01%
                1208                         6                      0.02%
                1210                         2                      0.01%
                1211                         3                      0.01%
                1212                         1                      0.00%
                1214                         2                      0.01%
                 122                         2                      0.01%
                1221                         2                      0.01%
                 123                         4                      0.01%
                1230                         1                      0.00%
                1233                         1                      0.00%
                 124                         1                      0.00%
                1249                         3                      0.01%
                 125                         2                      0.01%
                1251                         1                      0.00%
                1253                         1                      0.00%
                 126                         2                      0.01%
                 127                         1                      0.00%
                 129                        10                      0.03%
                  13                        23                      0.08%
                 130                         4                      0.01%
                1301                         4                      0.01%
                1302                         5                      0.02%
                1303                         4                      0.01%
                1304                         2                      0.01%
                1305                         2                      0.01%
                1307                         1                      0.00%
                1308                         1                      0.00%
                1309                         1                      0.00%
                1310                         1                      0.00%
                1312                         3                      0.01%
