frequence of Zipcode attribute
    Type Description                     Count                   Percent
               94102                      7164                      3.63%
               94103                     10986                      5.57%
               94104                      4229                      2.14%
               94105                      8628                      4.38%
               94107                      7706                      3.91%
               94108                      5320                      2.70%
               94109                     11348                      5.76%
               94110                     17837                      9.05%
               94111                      5385                      2.73%
               94112                      7897                      4.00%
               94114                     13404                      6.80%
               94115                     10095                      5.12%
               94116                      6421                      3.26%
               94117                     11780                      5.97%
               94118                      9812                      4.98%
               94121                      7773                      3.94%
               94122                      8886                      4.51%
               94123                      9515                      4.83%
               94124                      5265                      2.67%
               94127                      4993                      2.53%
               94129                        23                      0.01%
               94130                        81                      0.04%
               94131                      7664                      3.89%
               94132                      3507                      1.78%
               94133                      7424                      3.77%
               94134                      2983                      1.51%
               94158                      1058                      0.54%
